2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]/D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Palatinose [[M+Na]]	D-Fructose [[M+Na]]/D-Galactose [[M+Na]]/Galactose [[M+Na]]	D-Mannose [[M+Na]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Threonine [[M+NH4]]	L-Tryptophan [[M-H2O+H]]	L-Valine [[M+H]]	Linoleic acid [[M+Na]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N1-Acetylspermine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	Pidolic Acid [[M+H]]	Spermidine [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group	Well	Unnamed: 0	Summary_x	Treatment	Supplement	mu	AUC	MaxOD	Summary_y
12290.451612903224	7573.225806451613	936.6451612903226	91.03225806451611	3013.935483870968	1608.967741935484	4099.741935483871	4943.1612903225805	48787.8064516129	11173.935483870968	68.0	3763.032258064516	6772.580645161291	240.1935483870968	2254.967741935484	4109.612903225807	2027.935483870968	68.0	68.0	13.161290322580646	48.25806451612903	1656.1290322580646	2995.2903225806454	34376.1935483871	1525.6129032258066	75.6774193548387	23.032258064516128	31061.74193548387	2315.2903225806454	186.45161290322585	160.1290322580645	17.548387096774192	1707.6774193548388	483.6774193548387	2014.774193548387	1134.0645161290322	145.8709677419355	306.0	1226.1935483870968	3782.7741935483873	87.74193548387098	1970.903225806452	75.6774193548387	2027.935483870968	393.741935483871	640.516129032258	1472.967741935484	Growth with physiological level of arginine supplementation.	C1	2	Growth with physiological level of arginine supplementation.	None	PosLow	0.4403810224768175	56137.40982489846	2.014444192790863	Growth with physiological level of arginine supplementation.
3714.14373088685	1720.4128440366972	288.2262996941896	30.810397553516815	374.6941896024465	552.5993883792049	1754.2048929663608	1843.6544342507648	10997.324159021406	3649.5412844036696	154.05198776758408	163.9908256880734	3920.871559633028	6.957186544342507	7.951070336391437	140.13761467889907	17.392966360856267	129.20489296636086	77.5229357798165	5.963302752293578	64.29309941735168	935.2446483180428	3951.681957186544	11094.724770642202	510.8562691131498	247.47706422018348	154.05198776758408	33582.33944954129	1149.9235474006116	380.65749235474	5.963302752293578	4438.68501529052	760.3211009174312	45.718654434250766	17.392966360856267	989.908256880734	50.68807339449541	722.5535168195719	1368.577981651376	4480.428134556575	162.00305810397552	17.392966360856267	154.05198776758408	17.392966360856267	145.23721942375636	806.039755351682	325.0	Growth with lithium chloride treatment without arginine supplementation.	B11	81	Growth with lithium chloride treatment without arginine supplementation.	Yes	None	0.094436526069881	11017.497576377047	0.3363472545223859	Growth with lithium chloride treatment without arginine supplementation.
2649.884632445197	1665.958625001584	1131.1760486327323	166.3494189165783	33.26988378331566	345.8725105671212	352.41432451956587	3664.616087836325	11876.11629272579	2571.6387946585105	142.93727847646727	155.35746523804266	1849.5590947687704	115.82848428265451	9.85774334320464	320.5183908063904	21.56381356326015	52.98537046972494	25.87657627591218	105.42531958355498	59.30807791534169	93.64856176044408	6186.966165778812	10722.760321570848	947.575578865546	113.36404844685336	142.93727847646727	238453.88260044865	3027.559424281725	117.0607022005551	36.9665375370174	3522.911027277758	744.2596224119503	1017.812000185879	274.949147158917	2245.1010464148567	19.71548668640928	6561.560412820589	920.4667846717332	6603.455822029208	577.910203495372	342.1839856904431	113.36404844685336	285.66942879766924	147.40840006849226	1932.1176952681092	863.7847604483065	Growth with supraphysiological level of arginine and lithium chloride treatment.	E9	68	Growth with supraphysiological level of arginine and lithium chloride treatment.	Yes	PosHigh	0.1686171325657531	7106.742757095316	0.2097056454531168	Growth with supraphysiological level of arginine and lithium chloride treatment.
3415.390493381468	1270.011432009627	451.5890493381468	9.270156438026474	267.5102286401925	105.94464500601684	921.7184115523464	5751.46991576414	6887.72623345367	3570.334536702768	120.51203369434415	103.29602888086644	1100.5	603.884476534296	143.02527075812273	251.61853188929	88.3353163237347	87.28944745241928	51.17709580823996	217.2884072446443	40.69557119027696	507.2099879663057	4412.594464500602	10089.903128760528	2881.694344163658	247.6456077015644	120.51203369434415	140785.86582430807	2720.1287605294824	335.04993983152826	45.02647412755716	20785.01504211793	1781.194344163658	109.91756919374248	229.932553320048	1526.9271961492177	105.94464500601684	1329.6052948255117	2185.1083032490974	5199.2334536702765	543.3644952411611	237.97112314595236	271.48315282791816	228.1554823382428	167.8535717325399	182.75451263537903	202.6191335740072	Growth with physiological level of arginine and lithium chloride treatment.	D2	11	Growth with physiological level of arginine and lithium chloride treatment.	Yes	PosLow	0.0906783345719216	7448.061190681092	0.2173597334279777	Growth with physiological level of arginine and lithium chloride treatment.
10499.668655529038	10650.970564836913	1181.351630867144	203.44550517104216	713.7688941925219	1480.5361972951473	3815.030628480509	7568.514717581544	57725.52505966587	9733.756165473347	52.99840891010342	2745.659506762132	9985.92601431981	33.33770883054893	1485.66507557677	5888.80708035004	612.0461416070008	15.386634844868736	4.27406523468576	40.17621320604614	188.9136833731106	669.3186157517899	3152.5505171042164	30511.696897374703	2549.907319013524	659.9156722354813	52.99840891010342	46037.666268894194	2114.807478122514	375.2629276054097	29.06364359586317	503.4848846459825	1074.5	100.01312649164676	612.0461416070008	1541.227923627685	11.967382657120128	906.101829753381	1471.9880668257756	3304.7072394590296	330.8126491646778	612.0461416070008	588.1113762927605	612.0461416070008	36.75696101829753	1675.4335719968178	1182.206443914081	Growth with physiological level of arginine supplementation.	G6	46	Growth with physiological level of arginine supplementation.	None	PosLow	0.2195577951747398	62149.91431560361	2.381710818087289	Growth with physiological level of arginine supplementation.
2743.9471153846152	937.9586538461538	389.1692307692308	282.7557692307692	638.4807692307692	501.6634615384616	2043.1384615384616	3678.865384615384	8829.276923076923	2743.9471153846152	148.09455258516726	130.73653846153846	2175.395192307692	138.3375	12.16153846153846	28.883653846153845	26.603365384615383	98.27446630135246	63.624081228881785	9.121153846153844	43.37104936956894	1178.1490384615383	4679.151923076923	8397.542307692307	221.9480769230769	103.37307692307692	162.94138406995967	224942.85576923075	3067.748076923077	24.32307692307692	27.363461538461536	1159.9067307692308	1584.0403846153845	191.54423076923075	249.70605832208807	790.5	237.15	5556.302884615385	1831.8317307692307	4964.948076923077	313.024917740094	294.67977183542143	103.37307692307692	252.31423985042312	170.85124385217338	2360.8586538461536	296.4375	Growth with supraphysiological level of arginine and lithium chloride treatment.	C11	82	Growth with supraphysiological level of arginine and lithium chloride treatment.	Yes	PosHigh	0.2198773416676225	5808.4892401936295	0.1928598266463085	Growth with supraphysiological level of arginine and lithium chloride treatment.
6126.154259484688	10067.601489950128	357.64363994367807	389.7913828599637	1046.1411340674629	247.80551831303532	1768.1258603957117	12891.244909430554	58081.59502471095	5430.289574275921	101.49336756137043	4432.370054582887	10802.981109160164	158.05973600507122	1052.8385805083556	6105.39217551792	346.9277256382495	30.8082536281071	30.8082536281071	95.64721639328413	8.036935729071418	2207.4783469182826	471.5002294388565	54647.14448982111	403.1862757417495	261.2004111948211	100.90106736206356	273578.63170687924	2569.1404547264965	338.89078990917807	241.1080718721425	2.678978576357139	6.697446440892848	270.57683621207104	321.4774291628567	1288.588695227784	6.697446440892848	5660.681731842635	784.9407228726418	2420.4571437386758	216.99726468492827	372.3780221136423	289.32968624657104	321.4774291628567	1654.2692709005337	533.1167366950707	65.63497512074991	Growth with supraphysiological level of arginine supplementation.	A4	24	Growth with supraphysiological level of arginine supplementation.	None	PosHigh	0.2402965675484061	53209.60814050048	2.082208247961785	Growth with supraphysiological level of arginine supplementation.
2631.197460595447	2651.0140105078813	2008.0770577933447	19.81654991243433	70.45884413309983	598.0620141679804	737.6160245183888	3781.658274956217	15027.550350262698	2514.5	543.3037434325745	307.15652364273205	2082.939579684764	95.77999124343258	108.9910245183888	275.2298598949212	1373.7751927622935	40.734019264448335	66.21300581125864	6.605516637478109	6.605516637478109	2026.7926882662	3013.2165061295973	26255.827714535902	950.093476357268	61.65148861646235	558.1661558669002	79248.58493870404	1434.4980297723291	2.752298598949212	157.43147985989492	11249.19483362522	912.6622154115588	5.504597197898424	1403.4698853661052	966.6072679509632	157.43147985989492	2365.8758756567427	1073.3964535901928	2887.7116900175133	258.716068301226	1369.4014932703012	61.65148861646235	1423.780324665797	44.036777583187394	1758.168345008757	2522.206436077058	Growth with alanine supplementation and lithium chloride treatment as a negative control.	E5	36	Growth with alanine supplementation and lithium chloride treatment as a negative control.	Yes	NegHigh	0.1364312921971501	6684.443640343922	0.2216268568059137	Growth with alanine supplementation and lithium chloride treatment as a negative control.
7331.771345445279	9701.115293543013	577.1331747666628	187.02327532200007	1202.4563959353134	151.45443154910436	2507.0297949605533	12395.168363825564	56354.81712095311	6697.269067819108	98.67485691835589	3524.7576796882468	7130.979485436997	1661.4092188113873	2707.8216549688354	7557.805610711745	209.39722543720868	33.274079658515355	42.07720266048719	79.16936194612273	30.979315544134984	3155.300657273008	832.999373520074	50208.291440585286	10.900129543306752	260.4557269821719	98.67485691835589	259934.81552820755	3731.28644998248	71.13768754579144	203.08662412266267	12.62120262909203	1913.833271393228	248.98190641027003	203.08662412266267	1325.2262760546632	2.868455142975461	6587.12039032885	1715.336175499326	2562.104133705682	1662.556600868577	203.08662412266267	268.48740138250315	203.08662412266267	349.9515274430063	21.800259086613504	425.67874321755846	Growth with supraphysiological level of arginine supplementation.	G5	38	Growth with supraphysiological level of arginine supplementation.	None	PosHigh	0.2398789019482964	43952.86405858814	1.9572333333333407	Growth with supraphysiological level of arginine supplementation.
5263.665102335854	3761.750698135726	521.9418851475621	39.33000076465146	1221.688148751986	2195.92504269304	1613.34940636664	4256.65320775759	26915.649898292413	4944.10884612306	145.8066328015263	2395.852546580018	2993.176933193162	479.33438431918967	1579.7550307135002	5851.156988757834	511.29000994046896	67.48350276577963	52.9848462389683	4.916250095581432	63.91125124255862	1637.9306568445472	2970.2344327471155	22776.167317812844	1161.0543975731482	183.54000356837344	147.70370722594137	56775.31422882217	839.8593913284947	302.3493808782581	54.898126067326	20.484375398255967	1108.614396553613	214.67625417372253	511.29000994046896	779.225640149657	53.97979217354757	562.0912609281438	700.5656386203541	2818.6500548000213	177.8043784568618	511.29000994046896	185.9981286161642	511.29000994046896	133.5581275966289	1763.2950342818738	690.7331384291913	Growth with physiological level of arginine supplementation.	H10	79	Growth with physiological level of arginine supplementation.	None	PosLow	0.2471252483993516	61217.47911847207	2.223025379715174	Growth with physiological level of arginine supplementation.
10243.929570902412	4271.054865464741	438.7861360001826	27.42413350001141	2073.061350871233	366.6708219816341	2246.747529704639	9523.284285041	30893.794242086933	9380.069365652053	171.65476153710847	2739.3662240566955	2742.413350001141	1136.5779772782507	2510.831778223267	6168.398620206271	1172.1277799634508	56.87968429631997	71.23522892839026	37.58121998149712	229.550154481577	2017.1973752230615	4587.955963687095	29624.158431901214	1363.0810058153822	1053.289868130068	171.65476153710847	33487.91412945838	2406.2137874639643	23.36129890741713	281.35129553715416	48.7540151111314	1101.0281745930508	161.49767505562278	1172.1277799634508	1232.0545902042163	27.42413350001141	896.8707363151881	1818.118480185942	4879.464345705735	24.3770075555657	1172.1277799634508	1027.8971519263537	1172.1277799634508	537.309874870594	2351.3655204639417	730.2945180188225	Growth with physiological level of arginine supplementation.	H4	31	Growth with physiological level of arginine supplementation.	None	PosLow	0.234039266581723	56885.163625788286	2.145404603846918	Growth with physiological level of arginine supplementation.
