Molecule List Name	Molecule Name	Precursor Neutral Formula	Precursor Adduct	Replicate Name	Precursor Mz	Precursor Charge	Total Ion Current Area	Collisional Cross Section	Ion Mobility MS1	Area	Height
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00001-Positive-MAT1.d.DeMP	175.086589	1	1984678.25	137.4	21.42	145	66
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00002-Positive-MAT1.d.DeMP	175.086589	1	1704004	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00003-Positive-MAT1.d.DeMP	175.086589	1	1637488.5	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00004-Positive-MAT1.d.DeMP	175.086589	1	1607045.125	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00005-Positive-MAT1.d.DeMP	175.086589	1	1591240.75	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00006-Positive-MAT2.d.DeMP	175.086589	1	1963505.25	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00007-Positive-MAT2.d.DeMP	175.086589	1	1951992.125	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00008-Positive-A7.d.DeMP	175.086589	1	2711813.75	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00009-Positive-A3.d.DeMP	175.086589	1	3466013	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00010-Positive-G9.d.DeMP	175.086589	1	3619948	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00011-Positive-E9.d.DeMP	175.086589	1	2249775.75	137.4	21.42	48	30
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00012-Positive-H5.d.DeMP	175.086589	1	1955607.75	137.4	21.42	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00013-Positive-E6.d.DeMP	175.086589	1	3601558	137.4	21.42	0	0
